,Title,Date,Ship,Ship_category,Summary,Language,Word_Count,Comments,Chapters,Kudos,Bookmarks,Hits
518,take a deep breath (and let it go),2016,Percival Graves/Newt Scamander - Relationship,Gen,"His father taps his finger against his inked wrist and smiles, loving and fond. “They say that your ink represents the soul of your other half, an unbreakable bond between you and the one you’re destined to be with.”a soulmate au where people are marked with an ink tattoo that fills with colour only when they touch their soulmate for the first time.(aka the one where newt has a thunderbird across his wrist and an entire world to search)",English,"28,600",559,10/10,"9,142","2,007","132,033"
519,What I thought,2014,Draco Malfoy/Harry Potter,M/M,Draco thought they were in a relationship. Harry thought it was just sex.October 2015: Translated into Vietnameseherebykristenjy99.July 2018: Available in Russianherewith thanks to Lana_light969.,English,"7,826",311,1/1,"9,140","1,649","157,330"
520,Chaos Theory,2017,Draco Malfoy/Harry Potter,M/M,"Chaos: when the present determines the future, but the approximate present does not approximately determine the future. One gene varies, one neuron fires, one butterfly flaps its wings, and Draco Malfoy's life is completely different. Draco has always found a certain comfort in chaos. Perhaps he shouldn't.",English,"102,712","1,580",78/78,"9,118","3,174","202,736"
521,Book One: Snake in the Grass,2023,(Future) Theodore Nott/Harry Potter/Blaise Zabini,Gen,"Little Whinging, Surrey is a place where individuality goes to die. Row after row of identical houses line the streets with pristine, white picket fences and perfectly pruned hedges and house perfectly normal families. Those who live on Privet Drive are no exception to this.But there is one little boy who does not fit into that mould.Little Hari Potter, who has befriended snakes and knows their ways, hears his neighbors whispering of things he wanted them to notice and says, “Aunt Petunia, did you hear? Mrs. Number Six thinks we’re too poor to afford clothes for two children. I heard her talking about asking the neighbors for donations for us. Isn’t that nice of her? I know that I’m a huge burden on you all, so I’m glad that someone is stepping up to help out.”And that simply will not do. The Dursleys care more for their reputation than anything else, and so things slowly but surely begin to change as a result.The Hari Potter who arrives at Hogwarts could never sort anywhere but Slytherin.",English,"109,917","2,312",20/20,"9,107","2,592","178,672"
522,Open For Repairs,2015,Draco Malfoy/Harry Potter,M/M,"After the war, Draco works at a tv repair shop and Harry breaks things.feat. sad boys in jumpers and more ABBA than is probably necessary",English,"34,901",610,1/1,"9,103","2,731","119,124"
523,"Hope Springs Eternal (But Love Springs in the Forest, Unannounced)",2012,Draco Malfoy/Harry Potter,M/M,Draco falls into a love spring. Harry saves him! And now they’re bonded for life. Draco is horrified. Harry thinks it’s kind of neat.,English,"12,394",183,1/1,"9,103","1,656","156,390"
524,Conditionally,2019,Harry Potter & Severus Snape,Gen,Harry finds out that he's Snape's son. It goes as badly as possible.,English,"39,046",519,6/6,"9,087","2,527","118,343"
525,"Once More, With Feeling",2021,Hermione Granger/Draco Malfoy,F/M,"As she looked around her living room - at the green velvet ottoman she didn't remember purchasing, the 14th century Wizarding texts on her bookshelf, the hideous and obnoxiously ostentatious grandfather clock that could only belong to a Malfoy - she pictured the toothbrush next to hers on her bathroom counter, the old Slytherin quidditch jersey she regularly tripped over in her bedroom, and the mint chocolate chip ice cream in her freezer - a flavour she abhorred, but that a particular, pale, pointy faced aristocrat sat across from her had a tragic fondness for.Her chest burning, as if she drank a barrel of bubotuber pus, Hermione turned to him with narrowed, accusing eyes. ""Malfoy...are we dating?""If there's one thing Hermione Granger knows, it's that she simply doesn't have time to date. Draco decides to date her, anyway.",English,"106,117","1,581",12/12,"9,078","4,020","347,657"
526,Just The Two Of Us,2016,Draco Malfoy/Harry Potter,M/M,Harry finally meets his soulmate. Except his soulmate has been given a heavy dose of morphine and has no idea that his drugged-up rambling includes the words that change Harry's life forever.,English,"3,492",62,1/1,"9,068",747,"100,997"
527,Who we are in the shadows,2019,Draco Malfoy/Harry Potter,M/M,"What happens when you’re forced to become the very thing you despise?Ex-Auror Harry Potter, tossed out of the Ministry for something he had no control over, has been looking for a way back to his former life. When he comes across Draco Malfoy in the criminal underbelly of Wizarding London and in need of protection, Harry figures bringing him in to face the Ministry's justice is his ticket back to everything he's lost.But nothing is exactly as it seems. Not even Harry himself. And as he gets drawn further and further into Malfoy's world of honour and deception he finds himself questioning everything he thought he knew—about his childhood nemesis, the Ministry job he misses so much, and most of all, about himself.What happens when you’re forced to see that you were wrong?",English,"99,714","1,230",12/12,"9,067","3,695","221,675"
528,it runs in the family,2021,Hermione Granger & Voldemort,Gen,"""Her name is...Hermione,"" Lucius pronounces the name very carefully, watching Voldemort as if for some reaction. He has none to offer. ""She's in my son's year. And she claims to be your daughter.""Crack!AU where Lord VoldemortthinksHermione Granger is his daughter.",English,"13,757",582,3/3,"9,061","2,506","88,211"
529,Vortex,2020,Draco Malfoy/Harry Potter,M/M,"“Don’t worry, my dearest one,” Draco’s mother told him when he confided his worries to her. When he was old enough to feel the pangs of adolescent longing, but still too young to sense the storm gathering around them. “Magic will overcome any distance or obstacles to bring two soulmates together when the time is right. Circumstances will arise that steer them in the right direction; strange coincidences will make their paths cross again and again. Then the most wondrous moment arrives, when you both realize that your soulmate, your perfect match, stands before you, and from that day forward your hearts will be one.”Ten years after that conversation, the idea of perfectly-matched soulmates feels more like a curse than a blessing to Draco. Who would want a soulmate who was a schoolyard bully, a Death Eater, and a convicted felon? Certainly not Harry Potter. And Draco is determined to take this secret to the grave.",English,"20,625",579,1/1,"9,062","2,059","111,507"
530,Prized,2018,Harry Potter/Voldemort,M/M,"Severus Snape's loyalty has always been to Harry, not to Dumbledore or the Order. When he finds out that Harry is a horcrux and Dumbledore intends to have him killed, Severus goes to the Dark Lord with the information in an effort to save Harry's life, and in doing so changes the fate of the world.",English,"120,217","1,230",49/49,"9,051","2,394","244,480"
531,The Missing Sister,2024,Hermione Granger/Draco Malfoy,F/F,"The owl appeared late at night and left just as suddenly, he recognised the handwriting immediately and ripped open the envelope.She is yours.If something happens to us, I want you to hide her. Name her Hermione, for she will have my last libation before I sleep and be the messenger of dreamers.Moony and Mary know.Three words. Three words that forever changed the course of the war.",English,"652,347","3,548",75/75,"9,023","3,203","688,130"
532,Soul of fire,2024,Harry Potter/Tom Riddle,Gen,"With that the sorting began. Tom only listened with half an ear as his focus was on the Potter Heir. Like the others from Nightingale his magic was wound tightly around him.McGonagall called out suddenly, ""Potter, Harrison!""With that the Potter Heir made his way up to the stool. The hat was dropped on his head and they waited.For only a moment before the hat called out, ""Slytherin!""With that the Great Hall erupted in anger.",English,"66,863","1,717",40/40,"9,021","2,172","272,431"
533,Harry Lord of Slytherin,2022,Sirius Black/Remus Lupin,F/M,After blowing up his Aunt Marge Harry spend the rest of the summer before his Third Year in Diagon Alley. Having heard about Inheritance Test he decided to take one only learns about the betrayals from his friends. Only to find out that what they had done caused even more harm they could imagine.,English,"109,771",756,29/29,"9,020","2,809","386,766"
534,Earning His Notice,2018,Harry Potter/Tom Riddle,M/M,"Harry has almost accepted that he won’t be going back to his own time, and he’s working in a small apothecary in Diagon Alley to make ends meet. Then someone tries to blow up his employer’s shop, and that brings him face-to-face with Tom Riddle, who he successfully avoided during his time at Hogwarts.",English,"6,112",159,1/1,"9,015","1,125","142,990"
535,Raising a Wizard,2017,N/A,Multi,"When S.H.I.E.L.D. dumps everyone's secrets post CA:WS, Natasha discovers who her biological family was and that she wasn't born Natalia Romanova, but Mallory Evans. When she goes looking for her family, what she finds is a 6 year old Harry Potter and for the first time in her life she has someone who is all her own. Together, with the family she chose, they decide to raise him as their own. This is the story of how the avengers raise a young wizard, and how they teach him and each other how they all deserve the love and comfort having a family can offer.",English,"28,977",485,10/10,"9,014","1,368","144,880"
